Etho_trial,Trial,Shelter,Order,Date,Animal_ID,Trap_ID,Mass,Sex,Dev_stage,Recap._no,Trials,Tagger,Observer,Weather,Temperature,Notes,Distance_moved,Mean_dist_AP,Total_dist_AP,Time_arena,TimeEdge1,TimeEdge2,TimeEdge3,TimeEdge4,TimeEdge5,TimeEdge6,TimeEdge7,TimeEdge8,TimeEdge9,TimeEdge10,TimeEdge11,TimeEdge12,TimeEdge13,TimeEdge14,TimeEdge15,TimeEdge16,TimeEdge17,TimeEdge18,TimeEdge19,TimeEdge20,TimeOuter1,TimeOuter2,TimeOuter3,TimeOuter4,TimeOuter5,TimeOuter6,TimeOuter7,TimeOuter8,TimeOuter9,TimeOuter10,TimeOuter11,TimeOuter12,TimeCenter1,TimeCenter2,TimeCenter3,TimeCenter4,SquaresEntered,TimeEdge,TimeOuter,TimeCenter,TimeNear,TimeFar,TimeShelter,Lat_Shelter,Lat_Entry,TimeMove,TimeStill,Velocity
-,AGG,No,5,6.19.17,3,7.1,41.5,F,A,3,1,Monica,Monica,sunny,-,escaped after OF trial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,AGG,No,6,6.19.17,7,8.2,24,M,J,2,1,Monica,Monica,sunny,-,escaped after OF trial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trial    14,AGG,No,7,6.19.17,8,8.3,33,M,A,2,3,Monica,Monica,sunny,-,Double check which ear tag is on what ear,670.622,31.8815,86016.2,180.11,2,3,3,3,5,5,2,0,0,0,0,0,0,1,1,4,6,4,3,3,2,0,0,0,0,0,0,0,1,2,1,3,2,1,1,0,22,161.558,5.80568,2.00196,30.8969,138.469,-,-,-,38.9048,141.138,3.72755
Trial    15,AGG,No,8,6.19.17,1,9.3,29,M,A,3,2,Monica,Monica,sunny,-,escaped after agg trial,1080.5,46.0223,121223,177.641,2,2,1,1,1,2,3,4,4,14,19,8,3,2,1,2,4,3,2,3,1,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,25,174.704,2.80274,-,13.5466,163.961,-,-,-,50.2492,127.058,6.19659
Trial    16,AGG,No,9,6.19.17,12,9.4,28,M,J,1,3,Monica,Monica,sunny,-,,144.051,0,0,180.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180.043,0.066732,-,180.11,-,-,-,-,18.0844,161.959,0.805467
Trial    17,AGG,No,10,6.19.17,2,9.5,30,F,A,3,3,Monica,Monica,sunny,-,,2098.43,30.8911,83220.6,180.11,8,8,1,3,4,3,2,2,2,2,5,4,0,2,6,9,12,17,8,6,5,2,0,0,1,3,3,2,3,6,6,2,1,0,2,3,32,149.346,26.0255,2.00196,97.2953,80.0784,-,-,-,101.366,78.677,11.6942
Trial    18,AP,No,1,6.19.17,6,5.2,32.5,M,A,2,3,Monica,Monica,sunny,-,,534.707,54.0758,145356,179.843,0,0,0,0,0,0,0,0,0,2,7,5,3,2,2,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,178.108,1.40137,-,10.1433,169.366,-,-,-,43.7762,135.933,2.9876
Trial    19,AP,No,2,6.19.17,10,5.3,36,F,A,1,3,Monica,Monica,sunny,-,Pregnant? ,23.5788,37.1404,99127.7,178.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178.575,-,-,178.575,-,-,-,-,3.5368,174.905,0.132683
Trial    20,AP,No,3,6.19.17,4,5.6,36.5,F,A,2,3,Monica,Monica,sunny,-,,2052.74,32.9623,88701.7,180.11,7,7,9,9,6,4,6,5,6,10,7,3,3,2,4,4,0,5,6,6,7,2,4,6,5,4,2,5,8,3,6,5,3,3,6,5,35,147.611,22.6221,2.86948,61.3934,111.709,-,-,-,100.432,79.5445,11.4694
-,AP,No,4,6.19.17,11,5.9,27,F,A,1,2,Monica,Monica,sunny,-,escaped after agg trial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,AP,No,5,6.19.17,3,7.1,41.5,F,A,3,1,Monica,Monica,sunny,-,escaped after OF trial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,AP,No,6,6.19.17,7,8.2,24,M,J,2,1,Monica,Monica,sunny,-,escaped after OF trial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trial    21,AP,No,7,6.19.17,8,8.3,33,M,A,2,3,Monica,Monica,sunny,-,Double check which ear tag is on what ear,1383.05,29.6006,68555,157.421,1,3,3,3,8,9,3,3,2,2,8,5,3,5,3,1,1,0,1,2,4,4,1,2,2,1,2,1,1,1,1,2,1,1,0,0,33,130.795,18.418,0.800784,25.2247,124.789,-,-,-,63.0617,92.8242,9.03465
-,AP,No,8,6.19.17,1,9.3,29,M,A,3,2,Monica,Monica,sunny,-,escaped after agg trial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trial    22,AP,No,9,6.19.17,12,9.4,28,M,J,1,3,Monica,Monica,sunny,-,,2081.7,36.2879,97832.2,180.11,4,1,1,0,2,2,2,2,2,8,9,18,6,3,4,4,1,2,2,6,0,0,0,1,2,5,14,5,0,0,7,6,0,0,1,1,28,159.623,18.2846,0.266928,44.577,133.597,-,-,-,92.4906,87.5524,11.588
Trial    23,AP,No,10,6.19.17,2,9.5,30,F,A,3,3,Monica,Monica,sunny,-,,331.892,53.1952,143521,180.11,0,0,0,0,1,2,2,1,0,0,2,3,2,1,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,17,177.24,2.86948,-,7.07359,173.036,-,-,-,21.154,158.889,1.84477
Trial    24,OF,No,1,6.21.17,4,5.6,38.5,F,A,3,2,Monica,Monica,cloudy,-,"Forgot pred cues, preg?",1267.58,20.5924,55372.9,180.11,6,8,6,5,6,6,5,4,3,3,2,4,3,3,1,1,4,4,6,5,4,3,2,4,5,5,6,1,1,2,0,3,1,2,1,0,34,169.766,8.5417,0.934248,114.379,64.8635,-,-,-,69.2011,110.842,7.09302
Trial    25,OF,No,2,6.21.17,13,5.9,17,M,J,1,2,Monica,Monica,cloudy,-,Forgot pred cues,3638.31,25.0686,67334.2,180.11,21,14,10,12,20,19,6,7,5,10,10,10,8,7,9,13,18,17,16,18,7,3,4,8,4,5,12,5,6,7,6,8,4,1,2,5,36,142.74,24.4239,1.73503,97.6956,71.203,-,-,-,142.273,37.7703,20.4047
Trial    26,OF,No,3,6.21.17,3,7.2,28.5,F,A,4,2,Monica,Monica,cloudy,-,"Forgot pred cues, might have mixed up eartags sides",1733.8,39.4077,105810,180.11,7,8,4,5,7,6,3,1,0,1,11,11,6,3,5,3,3,4,3,3,2,1,2,2,3,3,5,6,2,2,2,1,1,3,3,0,34,67.2659,11.8783,2.46908,29.4288,52.1844,-,-,-,68.1334,111.843,9.72728
Trial    27,OF,No,4,6.21.17,8,7.4,33,M,A,3,2,Monica,Monica,cloudy,-,Forgot pred cues,873.569,21.7475,58305,180.11,6,3,2,2,4,4,3,3,2,3,2,3,1,1,1,2,3,2,6,8,1,1,1,2,1,1,3,1,0,1,2,3,1,1,0,0,33,152.216,19.5525,1.33464,89.5543,83.5485,-,-,-,71.1363,108.907,4.91762
Trial    28,OF,No,5,6.21.17,1,8.1,29,M,A,4,2,Monica,Monica,cloudy,-,Forgot pred cues,4176.15,37.37,100637,180.11,5,5,7,8,4,6,4,7,4,14,32,35,19,12,12,7,7,6,7,6,3,3,2,5,4,9,24,24,15,14,5,5,5,2,9,9,36,109.04,33.366,6.473,63.4621,85.417,-,-,-,148.946,31.0971,23.2989
Trial    29,OF,No,6,6.21.17,14,8.9,21,M,A,1,2,Monica,Monica,cloudy,-,Forgot pred cues,854.453,37.6896,101385,180.11,6,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,172.169,-,-,100.498,71.6702,-,-,-,38.9715,141.005,4.77771
Trial    30,OF,No,7,6.21.17,7,9.1,22,M,J,3,2,Monica,Monica,cloudy,-,Forgot pred cues,5896.8,29.3875,79228.6,180.11,39,20,5,4,3,3,5,6,5,10,31,25,13,13,21,26,23,11,11,17,28,4,3,6,6,9,21,20,18,25,9,16,5,3,4,6,36,114.712,40.6398,2.93621,102.901,55.3876,-,-,-,149.279,30.7635,32.8252
Trial    31,OF,No,8,6.21.17,6,9.4,31,M,A,3,2,Monica,Monica,cloudy,-,Forgot pred cues,4012.83,25.6199,68917.7,180.11,12,10,11,9,7,8,3,5,13,10,4,3,7,16,22,15,14,18,15,16,11,9,6,4,7,9,8,8,7,16,15,7,2,1,1,2,36,126.724,45.2443,3.93719,115.913,59.9921,-,-,-,140.604,39.4386,22.4379
Trial    32,OF,No,9,6.21.17,2,11.7,31.5,F,A,4,2,Monica,Monica,cloudy,-,"Forgot pred cues, preg?",2837.65,29.0713,78376.1,180.11,13,17,11,8,5,13,11,3,5,11,8,9,9,12,11,5,7,6,7,10,10,6,5,7,2,7,9,6,9,7,7,6,2,1,5,3,36,132.663,26.9597,2.60255,84.3492,77.8762,-,-,-,144.341,35.7016,15.7961
Trial    33,AGG,No,1,6.21.17,4,5.6,38.5,F,A,3,2,Monica,Monica,cloudy,-,"Forgot pred cues, preg?",1084.13,10.8243,28998.4,180.11,6,8,7,5,3,1,3,3,3,2,2,2,3,4,4,2,3,3,3,4,1,2,2,4,2,2,2,2,1,0,0,0,1,1,2,1,33,174.905,4.20412,0.800784,157.621,22.2885,-,-,-,49.2482,130.261,6.1121
Trial    34,AGG,No,2,6.21.17,13,5.9,17,M,J,1,2,Monica,Monica,cloudy,-,Forgot pred cues,2933.88,27.4855,73881.1,180.11,18,11,7,6,4,5,7,10,11,10,7,14,14,14,17,21,12,8,9,11,6,3,2,2,2,2,9,2,3,4,0,2,2,1,0,1,34,155.219,18.2178,0.66732,121.052,53.0519,-,-,-,130.194,49.7821,16.4294
Trial    35,AGG,No,3,6.21.17,3,7.2,28.5,F,A,4,2,Monica,Monica,cloudy,-,"Forgot pred cues, might have mixed up eartags sides",2295.73,30.5763,82066.8,180.11,7,2,1,3,3,7,7,5,6,11,11,4,0,0,0,9,11,10,10,9,3,3,5,7,3,3,5,1,1,0,1,3,2,1,1,2,32,101.232,16.2159,3.47006,63.5289,57.3895,-,-,-,121.452,58.5907,12.8944
Trial    36,AGG,No,4,6.21.17,8,7.4,33,M,A,3,2,Monica,Monica,cloudy,-,Forgot pred cues,748.642,17.7323,47823.9,180.11,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,7,3,4,6,3,1,1,0,0,2,0,1,1,2,3,5,3,1,3,2,21,120.985,13.0795,4.47104,131.929,6.60647,-,-,-,33.6329,146.41,4.1643
Trial    37,AGG,No,5,6.21.17,1,8.1,29,M,A,4,2,Monica,Monica,cloudy,-,Forgot pred cues,2698.32,24.7101,66445.5,180.11,13,6,5,2,3,1,3,3,2,1,4,6,3,2,2,11,15,18,15,16,5,6,4,3,1,1,3,3,4,9,6,5,2,2,0,2,35,100.498,15.2816,1.13444,87.4857,29.4288,-,-,-,140.471,39.5721,15.099
Trial    38,AGG,No,6,6.21.17,14,8.9,21,M,A,1,2,Monica,Monica,cloudy,-,Forgot pred cues,1206.6,22.2175,59765.1,180.11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,24.6908,2.00196,-,26.6928,-,-,-,-,38.9048,141.071,6.74174
Trial    39,AGG,No,7,6.21.17,7,9.1,22,M,J,3,2,Monica,Monica,cloudy,-,Forgot pred cues,3412.39,29.0184,74751.4,174.371,6,1,1,1,1,0,0,2,2,3,0,1,4,5,9,29,14,15,13,11,2,2,1,1,3,2,6,5,4,3,2,0,1,0,3,3,31,84.8831,9.34248,2.06869,82.1471,14.1472,-,-,-,138.669,34.7674,19.9984
Trial    40,AGG,No,8,6.21.17,6,9.4,31,M,A,3,2,Monica,Monica,cloudy,-,Forgot pred cues,2742.5,17.4251,46943.2,180.11,17,9,3,2,2,1,3,2,1,2,0,2,3,3,3,11,19,19,19,21,8,4,3,2,4,6,6,3,2,4,4,4,0,4,2,1,34,156.487,19.6192,1.73503,158.822,19.0186,-,-,-,126.324,53.7193,15.2891
Trial    41,AGG,No,9,6.21.17,2,11.7,31.5,F,A,4,2,Monica,Monica,cloudy,-,"Forgot pred cues, preg?",1987.81,18.2804,49283.9,180.11,39,12,4,3,2,2,2,0,0,0,1,0,0,0,2,7,4,7,10,8,2,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,21,162.225,2.73601,1.20118,134.999,31.1638,-,-,-,106.304,73.7389,11.0654
Trial    42,OF,No,1,6.23.17,6,5.6,31,M,A,4,3,Monica,Monica,cloudy and windy,17.7,,3462.6,21.739,58673.6,180.11,8,10,12,12,16,17,15,9,5,3,2,4,2,5,5,8,17,19,17,12,12,6,5,14,8,4,6,6,8,8,11,11,4,4,5,3,36,128.192,38.9715,6.80666,117.248,56.7222,-,-,-,141.405,38.6378,19.2321
Trial    43,OF,No,2,6.23.17,10,6.2,27,F,A,2,3,Monica,Monica,cloudy and windy,17.7,,207.948,55.8376,150650,180.11,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,180.043,0.066732,-,-,180.11,-,-,-,19.9529,160.09,1.15585
