Etho_trial,Trial,Shelter,Order,Date,Animal_ID,Trap_ID,Mass,Sex,Dev_stage,Recap._no,Trials,Tagger,Observer,Weather,Temperature,Notes,Distance_moved,Mean_dist_AP,Total_dist_AP,Time_arena,TimeEdge1,TimeEdge2,TimeEdge3,TimeEdge4,TimeEdge5,TimeEdge6,TimeEdge7,TimeEdge8,TimeEdge9,TimeEdge10,TimeEdge11,TimeEdge12,TimeEdge13,TimeEdge14,TimeEdge15,TimeEdge16,TimeEdge17,TimeEdge18,TimeEdge19,TimeEdge20,TimeOuter1,TimeOuter2,TimeOuter3,TimeOuter4,TimeOuter5,TimeOuter6,TimeOuter7,TimeOuter8,TimeOuter9,TimeOuter10,TimeOuter11,TimeOuter12,TimeCenter1,TimeCenter2,TimeCenter3,TimeCenter4,SquaresEntered,TimeEdge,TimeOuter,TimeCenter,TimeNear,TimeFar,TimeShelter,Lat_Shelter,Lat_Entry,TimeMove,TimeStill,Velocity
Trial    57,AGG,No,8,6.23.17,16,10.9,18.5,M,A,1,2,Monica,Monica,cloudy and windy,17.7,escaped after agg trial,5404.75,28.3627,76295.7,180.043,22,15,16,20,23,22,13,15,20,20,13,7,4,3,13,12,12,6,5,12,8,5,5,12,11,9,12,9,8,9,4,5,2,5,6,3,36,123.654,23.2895,2.86948,69.0676,80.7457,-,-,-,153.417,26.3591,30.187
Trial    58,AP,No,1,6.23.17,6,5.6,31,M,A,4,3,Monica,Monica,cloudy and windy,17.7,,185.718,55.2258,148999,180.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180.11,-,-,-,180.11,-,-,-,24.6908,155.352,1.03228
Trial    59,AP,No,2,6.23.17,10,6.2,27,F,A,2,3,Monica,Monica,cloudy and windy,17.7,,537.338,43.2335,116687,180.11,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,179.909,0.200196,-,19.5525,160.557,-,-,-,31.0304,149.013,2.9845
Trial    60,AP,No,3,6.23.17,15,6.5,13,U,J,1,3,Monica,Monica,cloudy and windy,17.7,,1460.12,43.5208,117245,179.976,0,4,2,2,2,3,3,7,5,5,4,7,10,12,6,5,3,2,1,1,5,0,0,0,1,3,6,1,0,2,2,3,1,0,1,1,30,89.154,12.1452,0.66732,36.5024,65.4641,-,-,-,94.7594,85.0833,8.1279
Trial    61,AP,No,4,6.23.17,13,6.9,18,M,J,2,3,Monica,Monica,cloudy and windy,17.7,,2617.54,30.2836,81705.1,180.11,6,5,4,4,10,8,7,5,3,7,11,8,6,5,9,10,14,12,7,5,5,3,2,5,5,8,8,10,8,7,7,5,3,2,4,7,36,151.682,20.7537,4.47104,61.26,115.647,-,-,-,119.317,60.7261,14.5492
Trial    62,AP,No,5,6.23.17,3,7.2,28,F,A,,,Monica,Monica,cloudy and windy,17.7,"Have a video on this day, but wasn't written up",1496.48,31.8551,85881.4,180.11,4,4,3,5,9,8,3,2,6,4,11,11,3,3,2,2,0,2,2,2,1,1,2,4,5,2,4,2,2,4,3,1,0,2,2,2,34,146.076,26.4259,3.00294,45.9783,129.527,-,-,-,99.4974,80.4788,8.32413
Trial    63,AP,No,6,6.23.17,7,8.2,20.5,M,A,4,2,Monica,Monica,cloudy and windy,17.7,Mirror fell over during Agg trial. Double check eartags,5198.42,27.0631,72826.9,180.11,17,10,10,12,10,10,9,6,7,8,7,7,11,14,18,26,23,18,19,18,17,7,3,9,6,7,7,7,7,14,10,13,1,2,4,2,36,118.783,22.8223,2.46908,85.9508,58.1236,-,-,-,148.612,31.364,29.0238
Trial    64,AP,No,7,6.23.17,2,10.7,20.5,F,A,5,3,Monica,Monica,cloudy and windy,17.7,Right eartag replaced,898.359,56.3029,151962,180.11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178.842,-,-,-,178.842,-,-,-,13.3464,166.697,4.9897
-,AP,No,8,6.23.17,16,10.9,18.5,M,A,1,2,Monica,Monica,cloudy and windy,17.7,escaped after agg trial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trial    65,OF,No,1,6.26.17,14,7.7,19.5,M,A,2,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",1928.77,33.6785,90359.3,179.976,6,5,2,3,6,10,3,2,3,7,4,5,10,9,7,4,3,2,4,4,1,1,6,5,1,0,6,4,4,4,3,2,3,2,2,4,35,109.374,26.0922,3.5368,67.9332,71.0696,-,-,-,110.642,68.5338,10.809
Trial    66,OF,No,2,6.26.17,3,8.1,27,F,A,5,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before. Escaped after AP",3821.86,27.5881,74350,180.11,22,7,3,4,7,8,4,2,4,9,8,5,4,7,10,18,21,16,17,17,10,3,2,0,0,3,8,4,7,15,12,12,4,1,3,7,34,115.847,31.8312,12.4122,99.6309,60.4592,-,-,-,119.45,60.5927,21.2906
Trial    67,OF,No,3,6.26.17,2,8.5,22.5,F,A,6,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",526.329,36.2786,97770.9,180.11,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,7,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,179.776,-,-,143.007,36.7693,-,-,-,43.8429,136.2,2.93205
Trial    68,OF,No,4,6.26.17,7,9.4,21.5,M,A,4,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",4159.71,30.6374,82414.7,180.11,16,5,3,4,14,39,14,9,7,7,8,8,8,10,7,11,12,8,9,13,2,3,3,5,3,3,11,7,3,4,4,2,3,0,1,3,35,126.657,16.4828,1.26791,65.1972,79.2109,-,-,-,124.922,55.1206,23.2592
Trial    69,AGG,No,1,6.26.17,14,7.7,19.5,M,A,2,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",2.10621,36.8488,99454.8,180.11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180.11,-,-,-,180.11,-,-,-,-,180.043,0.0116983
Trial    70,AGG,No,2,6.26.17,3,8.1,27,F,A,5,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before. Escaped after AP",370.065,38.2133,51129.4,90.4219,3,0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,1,2,3,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,13,82.8144,1.8685,-,40.7733,43.9097,-,-,-,34.367,55.521,4.16645
Trial    71,AGG,No,3,6.26.17,2,8.5,22.5,F,A,6,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",372.951,30.6197,82428.4,180.11,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,2,2,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,19,179.109,1.00098,-,50.6496,129.46,-,-,-,24.6908,155.352,2.08226
Trial    72,AGG,No,4,6.26.17,7,9.4,21.5,M,A,4,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",3630,24.995,67336.5,180.11,14,3,3,1,3,6,3,2,1,3,2,2,3,5,13,17,8,11,8,9,2,4,1,2,2,2,3,3,6,10,2,2,3,2,2,1,36,73.0715,7.87438,2.73601,67.1324,16.5495,-,-,-,148.212,31.8312,20.2369
Trial    73,AP,No,1,6.26.17,14,7.7,19.5,M,A,2,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",38.8661,3.84249,10351.7,180.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180.11,-,-,180.11,-,-,-,-,-,180.043,0.216674
Trial    74,AP,No,2,6.26.17,3,8.1,27,F,A,5,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before. Escaped after AP",1471.79,23.1278,62236.9,180.11,3,2,2,0,1,1,1,1,1,3,3,4,2,4,7,9,13,13,10,6,1,4,2,0,2,2,3,1,0,6,4,5,5,2,1,1,33,157.354,11.945,3.3366,139.737,32.8989,-,-,-,103.034,77.0087,8.22343
Trial    75,AP,No,3,6.26.17,2,8.5,22.5,F,A,6,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",1.12642,39.0405,105370,180.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180.11,-,-,180.11,-,-,-,-,-,180.043,0.00625637
Trial    76,AP,No,4,6.26.17,7,9.4,21.5,M,A,4,3,Monica,Monica and Erin,Clear sky,15.9,"temp taken after trials, colder before",3479.84,31.7258,85437.5,180.11,12,6,6,5,6,5,5,5,7,19,29,18,11,11,12,12,6,8,9,9,3,3,0,2,2,5,14,6,1,7,4,4,0,2,2,1,34,147.011,13.6133,1.6683,78.2766,84.0156,-,-,-,129.393,50.6496,19.4142
Trial    77,OF,No,1,6.28.17,18,4.5,7.5,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,"Two in one, siblings?",2047.19,30.9772,83359.8,180.11,12,10,8,7,9,10,10,8,9,11,8,8,4,4,6,6,7,7,8,9,3,1,0,2,1,1,5,1,1,0,0,2,1,1,0,0,31,163.493,7.87438,0.467124,80.5455,91.2894,-,-,-,117.649,62.3944,11.4384
Trial    78,OF,No,2,6.28.17,17,4.5,10.5,U,J,1,3,Monica,Monica,Cloudy/stormy,18.8,"Two in one, siblings?",1837.87,24.1759,64984.9,180.11,11,8,4,4,5,8,5,5,6,5,5,5,5,2,2,4,8,7,6,9,8,3,2,2,1,3,2,4,2,4,3,3,3,4,2,4,36,135.666,12.4122,3.26987,95.0931,56.2551,-,-,-,91.8232,88.2197,10.2919
Trial    79,OF,No,3,6.28.17,19,5.7,12.5,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,1793.2,32.7911,88306.4,180.11,10,7,4,3,4,9,10,8,7,5,8,7,5,4,4,4,4,6,7,8,3,4,3,3,2,4,6,2,1,0,1,2,1,1,1,1,35,142.206,15.8155,3.87046,72.0706,89.8213,-,-,-,110.909,69.1344,10.0043
Trial    80,OF,No,4,6.28.17,20,8.5,18,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,2003.03,30.9094,83146.3,180.11,7,3,5,3,4,5,4,3,4,5,7,11,6,3,2,5,7,6,6,9,3,4,4,3,1,3,5,3,2,1,0,0,0,0,1,0,31,107.038,14.4808,0.066732,53.1187,68.467,-,-,-,107.572,72.471,11.2
Trial    81,OF,No,5,6.28.17,21,9.5,19,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,1822.89,35.4634,95325.7,180.11,8,5,6,6,5,6,2,3,16,6,5,5,3,5,4,6,6,4,5,4,1,2,2,4,2,12,4,1,2,2,1,1,2,0,0,2,34,100.498,13.6801,0.400392,67.6662,46.9126,-,-,-,110.508,69.5347,10.208
Trial    82,OF,No,6,6.28.17,22,10.4,22,M,A,1,3,Monica,Monica,Cloudy/stormy,18.8,,2158.45,29.3462,79029.2,180.11,7,5,4,3,4,4,5,9,10,8,8,8,6,8,5,7,6,6,7,10,6,6,3,6,7,7,7,10,9,1,2,2,2,4,8,3,36,124.989,42.9754,6.27281,80.1451,94.0921,-,-,-,129.46,50.5829,12.0376
Trial    83,OF,No,7,6.28.17,4,1.8,32.5,F,A,4,3,Monica,Monica,Cloudy/stormy,18.8,pregnant? ,1665.37,33.8617,90952.7,180.11,7,4,3,2,1,1,2,1,3,9,6,6,6,6,4,6,9,9,5,7,4,3,3,2,0,3,4,2,5,3,4,6,3,1,2,4,35,160.29,15.3484,2.13542,118.649,59.1246,-,-,-,84.1491,95.8939,9.33983
Trial    84,OF,No,8,6.28.17,3,4.1,30,F,A,6,3,Monica,Monica,Cloudy/stormy,18.8,,1939.73,32.1341,86601.4,180.11,7,2,3,2,3,5,3,2,4,5,6,4,3,3,7,10,5,4,5,7,5,2,0,1,1,3,2,2,1,4,3,4,2,2,2,1,35,119.317,13.4131,2.53582,94.9596,40.3061,-,-,-,96.4945,83.4817,10.8057
Trial    85,OF,No,9,6.28.17,6,4.7,36,M,A,5,3,Monica,Monica,Cloudy/stormy,18.8,,1960.26,31.2197,84012.3,180.11,10,5,3,4,3,2,4,4,5,7,7,10,8,6,8,9,10,12,8,10,6,4,1,3,0,1,4,1,2,4,4,5,2,0,1,1,34,154.418,20.2198,3.93719,96.4277,82.1471,-,-,-,121.586,58.4572,10.9527
Trial    86,OF,No,10,6.28.17,14,6.9,22,M,A,3,3,Monica,Monica,Cloudy/stormy,18.8,Double check sex,1184.13,39.1014,105065,180.11,5,2,2,2,3,4,3,3,3,6,6,8,5,5,5,7,3,2,2,2,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,22,147.411,10.8106,-,74.8066,83.415,-,-,-,76.2747,103.768,6.63598
Trial    87,OF,No,11,6.28.17,2,10.7,22.5,F,A,7,3,Monica,Monica,Cloudy/stormy,18.8,Rained during AP,702.523,27.536,74126.8,180.11,2,1,1,1,2,1,0,2,2,2,1,1,1,2,3,2,6,2,0,2,2,1,0,1,3,1,0,0,3,7,1,1,3,1,0,2,30,153.484,20.9538,5.67222,113.111,66.9989,-,-,-,78.944,101.099,3.92233
Trial    88,OF,No,12,6.28.17,1,11.1,29,M,A,5,2,Monica,Monica,Cloudy/stormy,18.8,Rained during Agg,2916.07,27.4031,73659.6,180.11,14,12,8,5,4,5,4,3,2,2,4,6,6,6,8,15,20,16,15,11,8,4,4,2,3,2,1,4,6,13,7,8,4,5,2,3,36,134.398,11.8783,3.00294,106.838,42.4416,-,-,-,134.999,45.0441,16.3236
Trial    89,OF,No,13,6.28.17,12,11.5,27,M,A,3,1,Monica,Monica,Cloudy/stormy,18.8,Rained during OF,1105.72,24.2577,65204.6,180.11,7,7,3,6,6,5,5,3,2,2,1,5,5,5,4,4,5,4,4,4,1,1,1,0,0,2,7,3,2,2,0,0,1,0,0,1,30,166.163,13.2129,0.734052,90.5553,89.5543,-,-,-,90.4886,89.5543,6.19189
Trial    90,AGG,No,1,6.28.17,18,4.5,7.5,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,"Two in one, siblings?",2846.7,29.551,79551.3,180.11,13,3,2,2,3,2,4,6,5,7,4,8,7,8,10,17,16,16,19,20,4,4,2,2,3,6,10,3,2,5,0,1,3,3,3,1,35,139.87,12.6791,4.67124,105.37,51.8508,-,-,-,133.998,45.9116,15.8937
Trial    91,AGG,No,2,6.28.17,17,4.5,10.5,U,J,1,3,Monica,Monica,Cloudy/stormy,18.8,"Two in one, siblings?",413.138,54.7512,147390,180.11,0,0,0,0,1,1,2,1,1,4,4,3,3,3,1,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,15,175.505,4.60451,-,7.27379,172.836,-,-,-,34.6339,145.409,2.30663
Trial    92,AGG,No,3,6.28.17,19,5.7,12.5,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,2385.04,37.2631,100089,180.11,5,6,6,5,5,6,8,10,11,11,8,7,4,5,5,17,10,10,9,8,4,1,2,1,2,3,9,2,2,5,4,2,1,3,0,2,35,121.519,15.0147,1.00098,68.8007,68.734,-,-,-,123.054,56.9891,13.376
Trial    93,AGG,No,4,6.28.17,20,8.5,18,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,653.094,29.2435,29506.7,67.5995,2,0,0,0,0,0,0,0,0,0,1,3,1,1,1,6,6,6,6,6,0,1,0,0,0,0,2,1,0,0,2,2,2,0,2,2,19,48.3807,7.80764,4.27085,45.3778,15.0814,-,-,-,41.0402,26.4926,9.71878
Trial    94,AGG,No,5,6.28.17,21,9.5,19,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,1944.1,35.2543,94834.1,180.11,2,1,1,1,0,0,1,6,6,3,7,6,5,9,9,18,8,7,6,3,1,1,2,2,2,2,1,4,5,6,4,0,0,2,4,5,32,100.565,14.1472,30.1629,85.2168,59.6584,-,-,-,118.783,61.26,10.8664
Trial    95,AGG,No,6,6.28.17,22,10.4,22,M,A,1,3,Monica,Monica,Cloudy/stormy,18.8,,2078.19,30.2017,81303,180.11,4,5,2,3,7,4,4,5,6,5,3,9,5,10,10,13,13,7,4,5,5,4,3,6,3,4,13,8,6,7,3,3,5,4,10,8,36,118.116,30.9636,27.5603,94.8262,81.8134,-,-,-,143.407,36.6359,11.603
Trial    96,AGG,No,7,6.28.17,4,1.8,32.5,F,A,4,3,Monica,Monica,Cloudy/stormy,18.8,pregnant? ,2744.63,22.42,60063.2,180.11,16,13,9,5,4,1,2,5,5,3,2,4,6,5,5,16,17,15,15,13,5,3,4,5,1,2,2,2,3,3,3,5,1,2,1,2,36,149.613,12.0118,0.867516,121.119,41.3738,-,-,-,107.238,72.7379,15.4388
Trial    97,AGG,No,8,6.28.17,3,4.1,30,F,A,6,3,Monica,Monica,Cloudy/stormy,18.8,,364.141,41.3003,110065,179.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178.975,-,-,178.975,-,-,-,-,45.9116,132.73,2.05838
Trial    98,AGG,No,9,6.28.17,6,4.7,36,M,A,5,3,Monica,Monica,Cloudy/stormy,18.8,,621.741,50.3119,135389,180.11,1,1,1,1,1,1,3,3,3,10,5,6,3,0,1,2,1,1,1,1,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,22,167.297,12.8125,-,18.3513,161.758,-,-,-,56.1216,123.921,3.4739
Trial    99,AGG,No,10,6.28.17,14,6.9,22,M,A,3,3,Monica,Monica,Cloudy/stormy,18.8,Double check sex,1284.96,32.1399,86327.9,180.043,4,2,1,1,0,1,1,1,2,3,5,4,2,2,3,10,4,3,4,3,0,1,1,1,1,0,1,2,1,1,1,0,0,0,0,1,29,100.632,9.14228,0.800784,58.0568,52.5181,-,-,-,90.6221,89.2874,7.19833
Trial   100,AGG,No,11,6.28.17,2,10.7,22.5,F,A,7,3,Monica,Monica,Cloudy/stormy,18.8,Rained during AP,745.901,40.0518,107860,180.11,3,2,3,2,3,3,2,3,5,2,1,3,2,3,2,3,1,1,1,2,1,2,2,2,0,3,4,1,1,2,2,1,0,1,2,1,34,155.552,18.685,5.73895,62.5946,117.382,-,-,-,75.5406,104.502,4.16141
Trial   101,AGG,No,12,6.28.17,1,11.1,29,M,A,5,2,Monica,Monica,Cloudy/stormy,18.8,Rained during Agg,1489.21,26.0583,70096.9,180.11,9,7,3,2,2,1,0,0,0,0,1,2,2,2,2,6,7,7,7,7,4,0,2,1,0,1,1,2,4,4,4,6,1,1,1,2,30,111.976,13.4799,2.33562,62.5946,65.1972,-,-,-,98.7634,81.2796,8.32696
-,AGG,No,13,6.28.17,12,11.5,27,M,A,3,1,Monica,Monica,Cloudy/stormy,18.8,Rained during OF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trial   102,AP,No,1,6.28.17,18,4.5,7.5,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,"Two in one, siblings?",1552.79,36.0273,96805.4,180.11,3,5,5,4,4,5,3,2,3,6,7,8,4,4,7,7,8,6,4,4,3,1,0,0,2,2,4,0,3,6,3,3,1,1,0,1,32,147.678,12.8793,0.600588,98.6299,62.5279,-,-,-,108.239,71.8036,8.70194
Trial   103,AP,No,2,6.28.17,17,4.5,10.5,U,J,1,3,Monica,Monica,Cloudy/stormy,18.8,"Two in one, siblings?",1205.12,43.2487,116166,180.11,1,1,0,1,1,2,4,3,5,9,7,9,7,7,8,5,3,4,3,3,4,1,1,0,0,2,7,1,2,4,5,4,1,0,1,2,32,164.027,15.2816,0.800784,53.8527,126.257,-,-,-,79.3443,100.699,6.75864
Trial   104,AP,No,3,6.28.17,19,5.7,12.5,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,1666.26,29.9373,80621.1,180.11,6,5,6,5,4,5,4,3,3,3,5,5,4,6,9,18,18,15,8,7,3,1,1,1,0,1,0,1,2,0,2,2,0,0,1,0,30,158.155,5.0049,0.133464,112.977,50.3159,-,-,-,105.37,74.6731,9.29617
Trial   105,AP,No,4,6.28.17,20,8.5,18,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,1858.51,33.7364,90683.6,180.11,5,4,4,3,3,2,1,1,1,5,7,8,7,7,11,14,10,10,9,9,4,2,1,2,0,1,6,4,5,5,4,5,4,1,5,4,35,122.32,26.7595,4.00392,93.4248,59.6584,-,-,-,101.966,78.0764,10.4074
Trial   106,AP,No,5,6.28.17,21,9.5,19,M,J,1,3,Monica,Monica,Cloudy/stormy,18.8,,1518.65,30.0009,80552.5,180.11,6,4,3,2,4,3,4,3,3,5,3,4,4,6,10,5,7,8,7,8,3,1,1,2,1,2,2,2,4,9,5,4,3,2,2,1,36,156.887,16.6163,5.67222,93.4915,85.6839,-,-,-,112.443,67.5995,8.52337
Trial   107,AP,No,6,6.28.17,22,10.4,22,M,A,1,3,Monica,Monica,Cloudy/stormy,18.8,,1803.02,32.5623,87592.5,180.11,3,6,7,8,10,6,6,7,10,14,7,9,2,3,3,2,3,3,4,2,2,1,2,6,6,14,20,7,5,2,0,2,1,4,6,1,35,132.797,40.6398,6.6732,30.6967,149.413,-,-,-,130.061,49.9823,10.0816
Trial   108,AP,No,7,6.28.17,4,1.8,32.5,F,A,4,3,Monica,Monica,Cloudy/stormy,18.8,pregnant? ,539.991,28.8803,77601.5,180.11,2,5,4,2,1,2,2,0,0,0,0,0,0,1,1,1,3,3,3,4,2,2,2,2,1,0,0,0,1,0,1,2,2,0,0,1,24,176.306,3.20314,0.600588,46.312,133.798,-,-,-,29.4955,150.481,3.02616
Trial   109,AP,No,8,6.28.17,3,4.1,30,F,A,6,3,Monica,Monica,Cloudy/stormy,18.8,,186.213,10.0182,26918.9,180.11,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,180.11,-,-,149.613,30.4965,-,-,-,14.4141,165.629,1.04355
Trial   110,AP,No,9,6.28.17,6,4.7,36,M,A,5,3,Monica,Monica,Cloudy/stormy,18.8,,260.208,51.8152,138968,180.11,0,0,0,0,1,2,2,3,3,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,176.172,3.93719,-,-,180.11,-,-,-,26.2257,153.817,1.4637
Trial   111,AP,No,10,6.28.17,14,6.9,22,M,A,3,3,Monica,Monica,Cloudy/stormy,18.8,Double check sex,578.24,39.7949,106969,180.11,1,1,1,1,1,2,4,2,2,2,2,11,4,3,2,2,0,0,1,2,1,0,0,1,0,1,9,2,2,0,1,1,0,0,0,1,27,168.432,11.4779,0.200196,39.2384,140.871,-,-,-,42.5083,137.468,3.23808
Trial   112,AP,No,11,6.28.17,2,10.7,22.5,F,A,7,3,Monica,Monica,Cloudy/stormy,18.8,Rained during AP,37.763,54.2235,146349,180.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180.11,-,-,-,180.11,-,-,-,4.87144,175.171,0.209744
-,AP,No,12,6.28.17,1,11.1,29,M,A,5,2,Monica,Monica,Cloudy/stormy,18.8,Rained during Agg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,AP,No,13,6.28.17,12,11.5,27,M,A,3,1,Monica,Monica,Cloudy/stormy,18.8,Rained during OF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trial   113,OF,No,1,6.30.17,23,1.5,17.5,M,A,1,3,Monica,Monica and Kevin,partly cloudy/cloudy and windy,18.2,,125.647,41.1473,111056,180.11,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,180.11,-,-,-,180.11,-,-,-,7.27379,172.769,0.697872
Trial   114,OF,No,2,6.30.17,24,2.2,35,F,A,1,3,Monica,Monica and Kevin,partly cloudy/cloudy and windy,18.2,Preg?,2403.75,28.3599,76514.9,180.11,5,2,2,7,8,9,7,3,4,9,7,7,3,3,5,6,7,1,3,5,6,4,8,8,11,12,11,9,9,14,15,11,7,10,10,10,36,90.4886,56.522,18.5515,67.5328,98.0293,-,-,-,120.451,59.5917,13.3609
Trial   115,OF,No,3,6.30.17,10,2.4,29.5,F,A,3,2,Monica,Monica,Cloudy/stormy,17.9,escaped after agg,621.413,31.0736,83805.5,180.11,2,3,3,2,2,2,1,1,1,3,2,2,2,1,2,2,2,2,3,3,2,1,0,0,0,1,2,1,1,1,0,1,1,1,1,0,31,174.571,4.27085,1.26791,53.2521,126.858,-,-,-,41.3738,138.669,3.4566
Trial   116,OF,No,4,6.30.17,20,4.3,18,M,J,2,3,Monica,Monica,Cloudy/stormy,17.66,,2088.61,33.5983,90648.3,180.11,5,3,2,3,4,8,6,7,7,6,10,6,8,5,6,10,7,5,5,6,4,0,1,2,2,2,1,6,6,4,8,5,2,0,3,4,34,128.459,17.9509,2.66928,69.5347,79.5445,-,-,-,107.906,72.1373,11.6092
Trial   117,OF,No,5,6.30.17,17,4.5,24,U,J,2,3,Monica,Monica and Kevin,partly cloudy/cloudy and windy,17.42,wrong note om OF,2605.95,30.8286,83206.4,180.11,7,7,7,11,11,12,10,6,5,2,7,9,11,11,8,13,9,7,10,9,1,1,5,8,2,6,10,9,3,5,1,4,4,3,2,1,36,151.482,17.684,2.20216,70.4023,100.966,-,-,-,126.924,53.1187,14.4741
Trial   118,OF,No,6,6.30.17,18,4.6,10.5,M,J,2,3,Monica,Monica and Kevin,partly cloudy/cloudy and windy,17.18,,2978.97,29.7386,80234.7,180.11,14,6,5,7,9,6,3,2,6,13,12,11,10,10,11,13,9,8,9,13,4,2,5,3,0,5,10,9,8,7,5,5,4,5,6,7,35,143.874,21.421,5.27183,90.6221,79.9449,-,-,-,148.012,32.0314,16.5582
Trial   119,OF,No,7,6.30.17,7,4.8,24,M,A,5,3,Monica,Monica,Cloudy/stormy,16.94,,362.703,9.98664,26824.1,179.709,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,176.773,2.93621,-,165.162,14.5476,-,-,-,19.2855,160.224,2.02807
Trial   120,OF,Yes,8,6.30.17,6,5.1,30,M,A,6,3,Monica,Monica,Cloudy/stormy,16.7,,745.992,28.7413,56333,130.995,3,3,2,2,3,1,1,1,1,1,1,1,1,2,2,5,5,4,5,5,1,0,0,2,0,0,0,0,1,3,1,0,0,0,0,1,26,121.386,6.33954,2.20216,86.8183,43.1089,-,-,69.7349,58.7909,72.1373,5.70645
